ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity,row
12682299,2008 BMW X3 3.0SI E83 MY07,12990,BMW,X3,3.0SI,E83 MY07,2008,92000,Wagon,Automatic,Premium Unleaded Petrol, Used,2979,Grey,5,97
12688984,2013 BMW X3 Xdrive 30D F25,14999,BMW,X3,Xdrive 30D,F25,2013,258777,Wagon,Automatic,Diesel, Used,2993,White,5,160
12707661,2020 BMW X3 Sdrive20I Xline G01,65990,BMW,X3,Sdrive20I Xline,G01,2020,32517,Wagon,Automatic,Unleaded Petrol, Used,1998,Grey,5,1097
12708579,2017 BMW X3 Xdrive 30D M-Sport G01,62990,BMW,X3,Xdrive 30D M-Sport,G01,2017,71038,Wagon,Automatic,Diesel, Used,2993,Grey,5,1154
12712694,2015 BMW X3 Xdrive 20D F25 MY15,39888,BMW,X3,Xdrive 20D,F25 MY15,2015,53840,Wagon,Automatic,Diesel, Used,1995,Blue,5,1354
12713485,2020 BMW X3 Xdrive30I M Sport G01,83900,BMW,X3,Xdrive30I M Sport,G01,2020,28901,Wagon,Automatic,Unleaded Petrol, Used,1998,Black,5,1396
12714817,2009 BMW X3 Xdrive 20D Lifestyle E83 MY09,10000,BMW,X3,Xdrive 20D Lifestyle,E83 MY09,2009,188000,Wagon,Automatic,Diesel, Used,1995,White,5,1462
12716637,2013 BMW X3 Xdrive 20D F25 MY13,24990,BMW,X3,Xdrive 20D,F25 MY13,2013,122360,Wagon,Automatic,Diesel, Used,1995,Black,5,1576
12718961,2007 BMW X3 2.0D E83 MY07,14750,BMW,X3,2.0D,E83 MY07,2007,131768,Wagon,Automatic,Diesel, Used,1995,Platinum,5,1705
12734128,2018 BMW X3 Xdrive 20D G01,64888,BMW,X3,Xdrive 20D,G01,2018,32887,Wagon,Automatic,Diesel, Used,1995,White,5,2667
12737736,2016 BMW X3 Xdrive 20D F25 MY16,33999,BMW,X3,Xdrive 20D,F25 MY16,2016,135017,Wagon,Automatic,Diesel, Used,1995,Blue,5,2868
12739544,2019 BMW X3 Xdrive30I M-Sport G01,72900,BMW,X3,Xdrive30I M-Sport,G01,2019,48000,Wagon,Automatic,Unleaded Petrol, Used,1998,Black,5,3034
12740040,2017 BMW X3 Xdrive 20D G01,59990,BMW,X3,Xdrive 20D,G01,2017,55861,Wagon,Automatic,Diesel, Used,1995,Grey,5,3073
12744428,2012 BMW X3 Xdrive 20D F25,17000,BMW,X3,Xdrive 20D,F25,2012,171000,Wagon,Automatic,Diesel, Used,1995,Alpine,5,3379
12747710,2016 BMW X3 Xdrive 30D F25 MY16,45880,BMW,X3,Xdrive 30D,F25 MY16,2016,88000,Wagon,Automatic,Diesel, Used,2993,White,5,3621
12751512,2019 BMW X3 Xdrive 20D G01 MY18.5,54888,BMW,X3,Xdrive 20D,G01 MY18.5,2019,59738,Wagon,Automatic,Diesel, Used,1995,White,5,3870
12754126,2019 BMW X3 Xdrive 30I G01 MY18.5,74900,BMW,X3,Xdrive 30I,G01 MY18.5,2019,23808,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,White,5,4056
12760812,2017 BMW X3 Xdrive 30D G01,64990,BMW,X3,Xdrive 30D,G01,2017,50157,Wagon,Automatic,Diesel, Used,2993,White,5,4572
12763915,2018 BMW X3 Xdrive 30I G01,64990,BMW,X3,Xdrive 30I,G01,2018,33538,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,Black,5,4810
12768593,2018 BMW X3 Xdrive 30I G01,51990,BMW,X3,Xdrive 30I,G01,2018,98640,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,Grey,5,5188
12772107,2014 BMW X3 Xdrive 20D F25 MY14,20990,BMW,X3,Xdrive 20D,F25 MY14,2014,108000,Wagon,Automatic,Diesel, Used,1995,Blue,5,5540
12773271,2021 BMW X3 Xdrive30I M Sport G01,80989,BMW,X3,Xdrive30I M Sport,G01,2021,2713,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,Blue,5,5620
12774516,2019 BMW X3 Xdrive 20D G01 MY18.5,57990,BMW,X3,Xdrive 20D,G01 MY18.5,2019,73998,Wagon,Automatic,Diesel, Used,1995,Black,5,5733
12775006,2021 BMW X3 Sdrive20I M Sport G01,72900,BMW,X3,Sdrive20I M Sport,G01,2021,18000,Wagon,Automatic,Unleaded Petrol, Used,1998,Black,5,5784
12775008,2020 BMW X3 Sdrive20I Xline G01,69900,BMW,X3,Sdrive20I Xline,G01,2020,23000,Wagon,Automatic,Unleaded Petrol, Used,1998,White,5,5785
12776555,2008 BMW X3 2.5SI E83 MY07,8000,BMW,X3,2.5SI,E83 MY07,2008,160000,Wagon,Automatic,Premium Unleaded Petrol, Used,2494,White,5,5909
12778171,2019 BMW X3 Xdrive30I M-Sport G01,71990,BMW,X3,Xdrive30I M-Sport,G01,2019,55569,Wagon,Automatic,Unleaded Petrol, Used,1998,Black,5,6087
12782556,2015 BMW X3 Xdrive 20D F25 MY15,33990,BMW,X3,Xdrive 20D,F25 MY15,2015,138215,Wagon,Automatic,Diesel, Used,1995,White,5,6483
12783708,2014 BMW X3 Xdrive 20I F25 MY13,28888,BMW,X3,Xdrive 20I,F25 MY13,2014,111550,Wagon,Automatic,Premium Unleaded Petrol, Used,1997,White,5,6584
12787069,2017 BMW X3 Xdrive 20D F25 MY17,63500,BMW,X3,Xdrive 20D,F25 MY17,2017,25764,Wagon,Automatic,Diesel, Used,1995,Black,5,6911
12789012,2017 BMW X3 Xdrive 30D G01,63990,BMW,X3,Xdrive 30D,G01,2017,86706,Wagon,Automatic,Diesel, Used,2993,Black,5,7113
12790079,2017 BMW X3 Xdrive 30D G01,72900,BMW,X3,Xdrive 30D,G01,2017,74000,Wagon,Automatic,Diesel, Used,2993,White,5,7231
12790081,2022 BMW X3 Xdrive30I M Sport G01,99900,BMW,X3,Xdrive30I M Sport,G01,2022,3500,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,Black,5,7232
12791377,2015 BMW X3 Xdrive 30D F25 MY15,43500,BMW,X3,Xdrive 30D,F25 MY15,2015,100383,Wagon,Automatic,Diesel, Used,2993,White,5,7354
12792255,2015 BMW X3 Xdrive 30D F25 MY15,49990,BMW,X3,Xdrive 30D,F25 MY15,2015,60000,Wagon,Automatic,Diesel, Used,2993,Black,5,7444
12792844,2014 BMW X3 Xdrive 20I F25 MY14,29900,BMW,X3,Xdrive 20I,F25 MY14,2014,127637,Wagon,Automatic,Premium Unleaded Petrol, Used,1997,Silver,5,7513
12793084,2017 BMW X3 Xdrive 20I F25 MY17,45990,BMW,X3,Xdrive 20I,F25 MY17,2017,76160,Wagon,Automatic,Premium Unleaded Petrol, Used,1997,White,5,7544
12793862,2019 BMW X3 Xdrive30D M-Sport G01,74990,BMW,X3,Xdrive30D M-Sport,G01,2019,32000,Wagon,Automatic,Diesel, Used,2993,Silver,5,7607
12794027,2021 BMW X3 Xdrive30I M Sport G01,79990,BMW,X3,Xdrive30I M Sport,G01,2021,10598,Wagon,Automatic,Unleaded Petrol, Used,1998,Grey,5,7628
12800697,2016 BMW X3 Xdrive 30D F25 MY16,51990,BMW,X3,Xdrive 30D,F25 MY16,2016,38898,Wagon,Automatic,Diesel, Used,2993,Black,5,8385
12802218,2018 BMW X3 Xdrive 20D G01,62500,BMW,X3,Xdrive 20D,G01,2018,29211,Wagon,Automatic,Diesel, Used,1995,Blue,5,8535
12802397,2016 BMW X3 Xdrive 20D F25 MY17,26990,BMW,X3,Xdrive 20D,F25 MY17,2016,186468,Wagon,Automatic,Diesel, Used,1995,White,5,8548
12805207,2016 BMW X3 Xdrive 30D F25 MY16,59900,BMW,X3,Xdrive 30D,F25 MY16,2016,21811,Wagon,Automatic,Diesel, Used,2993,Black,5,8914
12805826,2018 BMW X3 Xdrive 20D G01,58100,BMW,X3,Xdrive 20D,G01,2018,58042,Wagon,Automatic,Diesel, Used,1995,White,5,8987
12807396,2009 BMW X3 Xdrive 20D Lifestyle E83 MY09,16888,BMW,X3,Xdrive 20D Lifestyle,E83 MY09,2009,161262,Wagon,Automatic,Diesel, Used,1995,Red,5,9173
12811519,2015 BMW X3 Xdrive 20D F25 MY15,31450,BMW,X3,Xdrive 20D,F25 MY15,2015,115332,Wagon,Automatic,Diesel, Used,1995,Grey,5,9697
12811607,2012 BMW X3 Xdrive 20I F25,22990,BMW,X3,Xdrive 20I,F25,2012,171550,Wagon,Automatic,Premium Unleaded Petrol, Used,1997,Silver,5,9707
12812163,2012 BMW X3 Xdrive 20D F25,23850,BMW,X3,Xdrive 20D,F25,2012,87301,Wagon,Automatic,Diesel, Used,1995,Grey,5,9805
12812793,2011 BMW X3 Xdrive 20D F25,24990,BMW,X3,Xdrive 20D,F25,2011,108914,Wagon,Automatic,Diesel, Used,1995,White,5,9893
12813721,2012 BMW X3 Xdrive 28I F25,21499,BMW,X3,Xdrive 28I,F25,2012,190429,Wagon,Automatic,Premium Unleaded Petrol, Used,2996,Black,5,10049
12813889,2017 BMW X3 Xdrive 20D G01,54990,BMW,X3,Xdrive 20D,G01,2017,39683,Wagon,Automatic,Diesel, Used,1995,Blue,5,10068
12814359,2017 BMW X3 Xdrive 20I F25 MY17,34990,BMW,X3,Xdrive 20I,F25 MY17,2017,102271,Wagon,Automatic,Premium Unleaded Petrol, Used,1997,Black,5,10121
12814370,2018 BMW X3 Xdrive 30I G01,64888,BMW,X3,Xdrive 30I,G01,2018,45759,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,White,5,10125
12814454,2019 BMW X3 Xdrive30I M-Sport G01,57820,BMW,X3,Xdrive30I M-Sport,G01,2019,96946,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,Black,5,10136
12815551,2011 BMW X3 Xdrive 20D Lifestyle E83 MY09,19900,BMW,X3,Xdrive 20D Lifestyle,E83 MY09,2011,110000,Wagon,Automatic,Diesel, Used,1995,white,5,10279
12817783,2012 BMW X3 Xdrive 30D F25,30106,BMW,X3,Xdrive 30D,F25,2012,111121,Wagon,Automatic,Diesel, Used,2993,Silver,5,10615
12820270,2016 BMW X3 Xdrive 20D F25 MY17,38990,BMW,X3,Xdrive 20D,F25 MY17,2016,68499,Wagon,Automatic,Diesel, Used,1995,Black,5,10930
12821251,2019 BMW X3 Xdrive30I M-Sport G01,67990,BMW,X3,Xdrive30I M-Sport,G01,2019,20109,Wagon,Automatic,Unleaded Petrol, Used,1998,White,5,11077
12821714,2012 BMW X3 Xdrive 20I F25,26888,BMW,X3,Xdrive 20I,F25,2012,62450,Wagon,Automatic,Premium Unleaded Petrol, Used,1997,Grey,5,11161
12822055,2013 BMW X3 Xdrive 20D F25,15950,BMW,X3,Xdrive 20D,F25,2013,218579,Wagon,Automatic,Diesel, Used,1995,Black,5,11199
12827976,2007 BMW X3 2.5SI E83 MY07,18000,BMW,X3,2.5SI,E83 MY07,2007,120000,Wagon,Automatic,Premium Unleaded Petrol, Used,2494,Grey,5,12144
12828302,2007 BMW X3 2.5SI E83 MY07,17000,BMW,X3,2.5SI,E83 MY07,2007,120000,Wagon,Automatic,Premium Unleaded Petrol, Used,2494,Grey,5,12215
12828826,2013 BMW X3 Xdrive 20I F25,26800,BMW,X3,Xdrive 20I,F25,2013,73350,Wagon,Automatic,Premium Unleaded Petrol, Used,1997,Grey,5,12313
12829163,2007 BMW X3 3.0SI E83 MY07,10995,BMW,X3,3.0SI,E83 MY07,2007,215633,Wagon,Automatic,Premium Unleaded Petrol, Used,2979,Silver,5,12378
12832611,2019 BMW X3 Xdrive 30I G01 MY18.5,59990,BMW,X3,Xdrive 30I,G01 MY18.5,2019,69991,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,Black,5,13059
12833712,2020 BMW X3 Xdrive20D Xline G01,70990,BMW,X3,Xdrive20D Xline,G01,2020,41263,Wagon,Automatic,Diesel, Used,1995,Silver,5,13273
12833933,2018 BMW X3 Xdrive 20D M-Sport G01,48800,BMW,X3,Xdrive 20D M-Sport,G01,2018,45992,Wagon,Automatic,Diesel, Used,1995,Grey,5,13313
12834864,2022 BMW X3 M Competition F97,159888,BMW,X3,M Competition,F97,2022,2345,Wagon,Automatic,Premium Unleaded Petrol, Used,2993,Black,5,13475
12836627,2017 BMW X3 Xdrive 30D G01,65900,BMW,X3,Xdrive 30D,G01,2017,48619,Wagon,Automatic,Diesel, Used,2993,Black,5,13835
12837554,2020 BMW X3 Xdrive30I M Sport G01,73490,BMW,X3,Xdrive30I M Sport,G01,2020,33140,Wagon,Automatic,Unleaded Petrol, Used,1998,Black,5,14026
12837922,2016 BMW X3 Xdrive 20D F25 MY16,25999,BMW,X3,Xdrive 20D,F25 MY16,2016,197105,Wagon,Automatic,Diesel, Used,1995,White,5,14099
12841043,2019 BMW X3 Xdrive30I M-Sport G01,67888,BMW,X3,Xdrive30I M-Sport,G01,2019,23244,Wagon,Automatic,Unleaded Petrol, Used,1998,White,5,14815
12843452,2011 BMW X3 Xdrive 20D Lifestyle E83 MY09,18990,BMW,X3,Xdrive 20D Lifestyle,E83 MY09,2011,222407,Wagon,Automatic,Diesel, Used,1995,Black,5,15344
12846410,2020 BMW X3 M Competition Xdrive F97,123888,BMW,X3,M Competition Xdrive,F97,2020,7600,Wagon,Automatic,Premium Unleaded Petrol, Used,2993,Grey,5,15994
